"Simbolo","Probabilidad","Informacion"
"192.168.17.125","0.0044825969764443925","7.801449489985165"
"192.168.20.59","2.9298019453884917e-05","15.058837332677818"
"192.168.18.15","0.0019043712645025197","9.036469519649362"
"192.168.23.162","0.003193484120473456","8.29065300790089"
"192.168.20.131","0.00020508613617719443","12.251482410620213"
"192.168.20.33","0.00043947029180827374","11.151946737069299"
"192.168.21.61","0.0006152584085315833","10.666519909899057"
"192.168.16.252","0.0025782257119418726","8.599405714040518"
"192.168.17.53","0.0029298019453884916","8.414981142903093"
"192.168.17.50","0.0001757881167233095","12.47387483195666"
"192.168.18.106","0.0001757881167233095","12.47387483195666"
"192.168.18.105","0.0036036563928278447","8.116322827338577"
"192.168.21.66","0.001406304933786476","9.47387483195666"
"192.168.20.13","2.9298019453884917e-05","15.058837332677818"
"192.168.20.229","0.0012012187976092816","9.701285328059733"
"192.168.21.253","0.00011719207781553967","13.058837332677818"
"0.0.0.0","0.0055666236962381346","7.488981724346869"
"192.168.16.145","0.001816477206140865","9.104641022290942"
"192.168.18.185","0.00023438415563107934","12.058837332677818"
"192.168.21.180","0.00026368217508496427","11.888912331235504"
"192.168.19.94","0.0001464900972694246","12.736909237790455"
"192.168.18.27","0.00011719207781553967","13.058837332677818"
"192.168.20.88","0.0001757881167233095","12.47387483195666"
"192.168.19.196","0.00011719207781553967","13.058837332677818"
"Entropia de la fuente","6.650933544588763"
"Entropia Maxima","7.491853096329675"
